Time [s],Byte
5.120831810000000,0x80
5.120832474000000,0x5A
5.120837744000000,0x80
5.120838408000000,0x5A
5.120843678000000,0x80
5.120844342000000,0x5A
5.121001136000000,0x80
5.121001800000000,0x5A
5.121007136000000,0x80
5.121007800000000,0x5A
5.121013102000000,0x80
5.121013768000000,0x5A
5.121171328000000,0x80
5.121171992000000,0x5A
5.121177328000000,0x80
5.121177992000000,0x5A
5.121183328000000,0x80
5.121183994000000,0x5A
5.121340654000000,0x80
5.121341318000000,0x5A
5.121346620000000,0x80
5.121347284000000,0x5A
5.121352588000000,0x80
5.121353252000000,0x5A
5.121509980000000,0x80
5.121510644000000,0x5A
5.121515980000000,0x80
5.121516644000000,0x5A
5.121521980000000,0x80
5.121522644000000,0x5A
5.121647334000000,0x80
5.121648000000000,0x5A
5.121816556000000,0x80
5.121817222000000,0x5A
5.121822524000000,0x80
5.121823188000000,0x5A
5.121828524000000,0x80
5.121829190000000,0x5A
5.121985880000000,0x80
5.121986544000000,0x5A
5.121991814000000,0x80
5.121992478000000,0x5A
5.121997780000000,0x80
5.121998444000000,0x5A
5.122156086000000,0x80
5.122156750000000,0x5A
5.122162020000000,0x80
5.122162684000000,0x5A
5.122168002000000,0x80
5.122168668000000,0x5A
5.122325408000000,0x80
5.122326072000000,0x5A
5.122331376000000,0x80
5.122332040000000,0x5A
5.122337376000000,0x80
5.122338040000000,0x5A
5.122494732000000,0x80
5.122495396000000,0x5A
5.122500664000000,0x80
5.122501330000000,0x5A
5.122506666000000,0x80
5.122507330000000,0x5A
5.122647286000000,0x80
5.122647950000000,0x5A
5.122653220000000,0x80
5.122653884000000,0x5A
5.122659152000000,0x80
5.122659818000000,0x5A
5.122816508000000,0x80
5.122817174000000,0x5A
5.122822442000000,0x80
5.122823108000000,0x5A
5.122828410000000,0x80
5.122829074000000,0x5A
5.122985848000000,0x80
5.122986512000000,0x5A
5.122991798000000,0x80
5.122992464000000,0x5A
5.122997698000000,0x80
5.122998364000000,0x5A
5.123156038000000,0x80
5.123156702000000,0x5A
5.123162004000000,0x80
5.123162670000000,0x5A
5.123168006000000,0x80
5.123168670000000,0x5A
5.123325362000000,0x80
5.123326026000000,0x5A
5.123331294000000,0x80
5.123331960000000,0x5A
5.123337296000000,0x80
5.123337960000000,0x5A
5.123494684000000,0x80
5.123495348000000,0x5A
5.123500652000000,0x80
5.123501316000000,0x5A
5.123506652000000,0x80
5.123507316000000,0x5A
5.123647240000000,0x80
5.123647904000000,0x5A
5.123653240000000,0x80
5.123653904000000,0x5A
5.123816476000000,0x80
5.123817140000000,0x5A
5.123822442000000,0x80
5.123823108000000,0x5A
5.123828444000000,0x80
5.123829108000000,0x5A
5.123985796000000,0x80
5.123986460000000,0x5A
5.123991730000000,0x80
5.123992394000000,0x5A
5.124155982000000,0x80
5.124156648000000,0x5A
5.124161916000000,0x80
5.124162582000000,0x5A
5.124325320000000,0x80
5.124325984000000,0x5A
5.124331270000000,0x80
5.124331934000000,0x5A
5.124337170000000,0x80
5.124337836000000,0x5A
5.124494640000000,0x80
5.124495306000000,0x5A
5.124500574000000,0x80
5.124501238000000,0x5A
5.124506574000000,0x80
5.124507240000000,0x5A
5.124512542000000,0x80
5.124513206000000,0x5A
5.124647192000000,0x80
5.124647858000000,0x5A
5.124653126000000,0x80
5.124653790000000,0x5A
5.124659060000000,0x80
5.124659724000000,0x5A
5.124816430000000,0x80
5.124817094000000,0x5A
5.124822364000000,0x80
5.124823028000000,0x5A
5.124828330000000,0x80
5.124828994000000,0x5A
5.124985750000000,0x80
5.124986414000000,0x5A
5.124991716000000,0x80
5.124992382000000,0x5A
5.124997718000000,0x80
5.124998382000000,0x5A
5.125155938000000,0x80
5.125156602000000,0x5A
5.125161904000000,0x80
5.125162568000000,0x5A
5.125167804000000,0x80
5.125168470000000,0x5A
5.125325258000000,0x80
5.125325922000000,0x5A
5.125331192000000,0x80
5.125331856000000,0x5A
5.125337092000000,0x80
5.125337756000000,0x5A
5.125493330000000,0x80
5.125493994000000,0x5A
5.125499330000000,0x80
5.125499994000000,0x5A
5.125505296000000,0x80
5.125505962000000,0x5A
5.125647148000000,0x80
5.125647812000000,0x5A
5.125653148000000,0x80
5.125653812000000,0x5A
5.125816382000000,0x80
5.125817046000000,0x5A
5.125822348000000,0x80
5.125823014000000,0x5A
5.125828350000000,0x80
5.125829014000000,0x5A
5.125985700000000,0x80
5.125986364000000,0x5A
5.125991632000000,0x80
5.125992298000000,0x5A
5.125997600000000,0x80
5.125998264000000,0x5A
5.126003534000000,0x80
5.126004198000000,0x5A
5.126155900000000,0x80
5.126156564000000,0x5A
5.126161834000000,0x80
5.126162498000000,0x5A
5.126167834000000,0x80
5.126168498000000,0x5A
5.126325218000000,0x80
5.126325882000000,0x5A
5.126331184000000,0x80
5.126331850000000,0x5A
5.126337084000000,0x80
5.126337750000000,0x5A
5.126494552000000,0x80
5.126495216000000,0x5A
5.126500486000000,0x80
5.126501150000000,0x5A
5.126506486000000,0x80
5.126507150000000,0x5A
5.126647102000000,0x80
5.126647766000000,0x5A
5.126653036000000,0x80
5.126653700000000,0x5A
5.126816336000000,0x80
5.126817000000000,0x5A
5.126822270000000,0x80
5.126822934000000,0x5A
5.126828236000000,0x80
5.126828902000000,0x5A
5.126985654000000,0x80
5.126986318000000,0x5A
5.126991620000000,0x80
5.126992286000000,0x5A
5.126997620000000,0x80
5.126998286000000,0x5A
5.127003588000000,0x80
5.127004252000000,0x5A
5.127155854000000,0x80
5.127156520000000,0x5A
5.127161822000000,0x80
5.127162486000000,0x5A
5.127167822000000,0x80
5.127168486000000,0x5A
5.127325172000000,0x80
5.127325838000000,0x5A
5.127331106000000,0x80
5.127331770000000,0x5A
5.127337106000000,0x80
5.127337770000000,0x5A
5.127494508000000,0x80
5.127495172000000,0x5A
5.127500474000000,0x80
5.127501138000000,0x5A
5.127506474000000,0x80
5.127507140000000,0x5A
5.127512458000000,0x80
5.127513122000000,0x5A
5.127647056000000,0x80
5.127647722000000,0x5A
5.127653058000000,0x80
5.127653722000000,0x5A
5.127816292000000,0x80
5.127816956000000,0x5A
5.127822258000000,0x80
5.127822922000000,0x5A
5.127828258000000,0x80
5.127828924000000,0x5A
5.127985610000000,0x80
5.127986274000000,0x5A
5.127991542000000,0x80
5.127992208000000,0x5A
5.127997510000000,0x80
5.127998174000000,0x5A
5.128155810000000,0x80
5.128156474000000,0x5A
5.128161744000000,0x80
5.128162408000000,0x5A
5.128167728000000,0x80
5.128168392000000,0x5A
5.128325128000000,0x80
5.128325792000000,0x5A
5.128331096000000,0x80
5.128331760000000,0x5A
5.128336996000000,0x80
5.128337660000000,0x5A
5.128494446000000,0x80
5.128495112000000,0x5A
5.128500380000000,0x80
5.128501044000000,0x5A
5.128506280000000,0x80
5.128506946000000,0x5A
5.128647014000000,0x80
5.128647678000000,0x5A
5.128652946000000,0x80
5.128653612000000,0x5A
5.128816232000000,0x80
5.128816896000000,0x5A
5.128822166000000,0x80
5.128822830000000,0x5A
5.128828132000000,0x80
